,QID,QTEXT,AMODE,ATYPE,ANS,prediction_result,wd_item,wd_item_name,predicate,predicted_ans,predicate_matched,answer_match_way
28,D072Q09,莎士比亚的悲喜剧作品有哪些?(在文本中),Multi-Spans-Extraction,Object,['《辛白林》、《冬天的故事》、《暴风雨》与《泰尔亲王佩力克尔斯》'],wrong,Q692,威廉·莎士比亞,['作品'],理查二世,byalias,
29,D072Q09,莎士比亚的悲喜剧作品有哪些?(在文本中),Multi-Spans-Extraction,Object,['《辛白林》、《冬天的故事》、《暴风雨》与《泰尔亲王佩力克尔斯》'],wrong,Q692,威廉·莎士比亞,['作品'],亨利五世,byalias,
30,D072Q09,莎士比亚的悲喜剧作品有哪些?(在文本中),Multi-Spans-Extraction,Object,['《辛白林》、《冬天的故事》、《暴风雨》与《泰尔亲王佩力克尔斯》'],wrong,Q692,威廉·莎士比亞,['作品'],亨利六世,byalias,
31,D072Q09,莎士比亚的悲喜剧作品有哪些?(在文本中),Multi-Spans-Extraction,Object,['《辛白林》、《冬天的故事》、《暴风雨》与《泰尔亲王佩力克尔斯》'],wrong,Q692,威廉·莎士比亞,['作品'],理查三世,byalias,
32,D072Q09,莎士比亚的悲喜剧作品有哪些?(在文本中),Multi-Spans-Extraction,Object,['《辛白林》、《冬天的故事》、《暴风雨》与《泰尔亲王佩力克尔斯》'],wrong,Q692,威廉·莎士比亞,['作品'],亨利八世,byalias,
33,D072Q09,莎士比亚的悲喜剧作品有哪些?(在文本中),Multi-Spans-Extraction,Object,['《辛白林》、《冬天的故事》、《暴风雨》与《泰尔亲王佩力克尔斯》'],wrong,Q692,威廉·莎士比亞,['作品'],威尼斯商人,byalias,
34,D072Q09,莎士比亚的悲喜剧作品有哪些?(在文本中),Multi-Spans-Extraction,Object,['《辛白林》、《冬天的故事》、《暴风雨》与《泰尔亲王佩力克尔斯》'],partial_match (substr),Q692,威廉·莎士比亞,['作品'],辛白林,byalias,
35,D072Q09,莎士比亚的悲喜剧作品有哪些?(在文本中),Multi-Spans-Extraction,Object,['《辛白林》、《冬天的故事》、《暴风雨》与《泰尔亲王佩力克尔斯》'],wrong,Q692,威廉·莎士比亞,['作品'],泰尔亲王佩利克尔斯,byalias,
36,D072Q09,莎士比亚的悲喜剧作品有哪些?(在文本中),Multi-Spans-Extraction,Object,['《辛白林》、《冬天的故事》、《暴风雨》与《泰尔亲王佩力克尔斯》'],partial_match (substr),Q692,威廉·莎士比亞,['作品'],暴风雨,byalias,
37,D246Q04,哈里发塔高度有多少公尺?,Single-Span-Extraction,Num-Measure,['828公尺'],exact_match,Q12495,哈里發塔,['高度'],828公尺,高度,
38,D246Q04,哈里发塔高度有多少公尺?,Single-Span-Extraction,Num-Measure,['828公尺'],wrong,Q12495,哈里發塔,['高度'],828米,高度,
39,D246Q08,若哈里发塔每个楼层都一样高，一个楼层的高度是多少公尺？(四舍五入至小数第一位),Arithmetic-Operations,Num-Measure,['4.9公尺'],wrong,Q12495,哈里發塔,['高度'],828公尺,高度,
40,D246Q08,若哈里发塔每个楼层都一样高，一个楼层的高度是多少公尺？(四舍五入至小数第一位),Arithmetic-Operations,Num-Measure,['4.9公尺'],wrong,Q12495,哈里發塔,['高度'],828米,高度,
41,D246Q09,从开始动工到正式完工，哈里发塔总共用了多少年的时间才盖好？,Single-Span-Extraction,Date-Duration,['5年'],wrong,Q12495,哈里發塔,['成立或建立時間'],2010年01月,(开工|建立|成立|签署|生效|开始|始于).*(时后|时候|时间),
42,D247Q07,莫斯科电视塔与美国KVLY电视塔，高度相差多少公尺？,Arithmetic-Operations,Num-Measure,['88.8公尺'],wrong,Q181324,奧斯坦金諾電視塔,['高度'],540公尺,高度,
43,D247Q07,莫斯科电视塔与美国KVLY电视塔，高度相差多少公尺？,Arithmetic-Operations,Num-Measure,['88.8公尺'],wrong,Q181324,奧斯坦金諾電視塔,['高度'],540米,高度,
44,D247Q08,从开始动工到正式完工，哈里发塔总共用了多少年的时间才盖好？(四舍五入至整数),Date-Duration,Date-Duration,['6年'],wrong,Q12495,哈里發塔,['成立或建立時間'],2010年01月,(开工|建立|成立|签署|生效|开始|始于).*(时后|时候|时间),
45,D247Q09,哈里发塔总高度是几英尺？,Single-Span-Extraction,Num-Measure,"['828公尺', '828.2公尺']",exact_match,Q12495,哈里發塔,['高度'],828公尺,高度,
46,D247Q09,哈里发塔总高度是几英尺？,Single-Span-Extraction,Num-Measure,"['828公尺', '828.2公尺']",wrong,Q12495,哈里發塔,['高度'],828米,高度,
47,D248Q09,加拿大国家电视塔与美国KVLY-TV天线塔，高度相差多少公尺？,Arithmetic-Operations,Num-Measure,['75.5公尺'],wrong,Q134883,加拿大國家電視塔,['高度'],447公尺,高度,
48,D275Q01,曹操出生于哪个朝代？,Single-Span-Extraction,Date-Duration,['东汉'],exact_match,Q204077,曹操,['國籍'],东汉,朝代,
49,D293Q01,丘逢甲出生于哪个朝代？,Single-Span-Extraction,Date-Duration,['清朝'],exact_match,Q718166,丘逢甲,['國籍'],清朝,朝代,
50,D293Q08,丘逢甲出生于台湾哪里？,Single-Span-Extraction,Location,['苗栗'],wrong,Q718166,丘逢甲,['出生地'],台湾,((出生|诞生)|生).*((哪(一个|个)?(地区|地方|地点|省份|省|城市)|(哪|哪一)(地|省))|(甚么|什么)|(地区|地方|地点|省份|省|城市)|哪(里)),
51,D293Q08,丘逢甲出生于台湾哪里？,Single-Span-Extraction,Location,['苗栗'],wrong,Q718166,丘逢甲,['出生地'],中国台湾,((出生|诞生)|生).*((哪(一个|个)?(地区|地方|地点|省份|省|城市)|(哪|哪一)(地|省))|(甚么|什么)|(地区|地方|地点|省份|省|城市)|哪(里)),
52,D305Q01,苏东坡出生于哪个朝代？,Single-Span-Extraction,Date-Duration,['北宋'],exact_match,Q36020,蘇軾,['國籍'],北宋,朝代,
53,D305Q08,怀素是出生于哪个朝代的人？,Single-Span-Extraction,Date-Duration,"['唐朝', '唐']",exact_match,Q3235751,怀素,['國籍'],唐朝,朝代,
