QID,DID,QUESTION,QTYPE,AMODE,ATYPE,VALID ANS,DTEXT,column8
D002Q01,2,苏东坡的老家在哪?,基础题,Single-Span-Extraction,Location,['蜀'],"嘉佑二年（1057年），苏轼才20岁，与弟弟苏辙一同进京参加会考，苏轼中进士第2名。当时主试官是欧阳修，苏轼以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，并推荐给主试官欧阳修。欧阳修亦十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌，列为第二。结果试卷拆封后才发现该文为苏轼所作，而取为第一的是曾巩，正是阴错阳差，弄巧成拙。到了礼部复试时，苏轼再以《春秋对义》居曾巩之前，中乙科。
治平三年（1066年），父苏洵过世，苏轼回蜀守丧，英宗怜之，同意以官船载运苏轼一家。
熙宁二年（1069年），任祠部员外郎，反对王安石变法中的一些作为，王安石于是屡次在神宗面前诋毁苏轼，司马光、范镇举荐苏轼作谏官，王安石力反之，神宗想让苏轼写起居注，王安石向神宗进言，说苏轼在回家守丧时，乘机贩运苏木（一种染料），最后神宗放弃这个任命。三年，因为苏轼一直反对王安石，王安石门下的御史谢景温又诬陷苏轼贩卖私盐，范镇极辩苏轼贩盐之诬，并愿意退休负责。",
D002Q02,2,苏东坡出生于哪一年?,进阶题,Date-Duration,Date-Duration,['1037年'],"嘉佑二年（1057年），苏轼才20岁，与弟弟苏辙一同进京参加会考，苏轼中进士第2名。当时主试官是欧阳修，苏轼以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，并推荐给主试官欧阳修。欧阳修亦十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌，列为第二。结果试卷拆封后才发现该文为苏轼所作，而取为第一的是曾巩，正是阴错阳差，弄巧成拙。到了礼部复试时，苏轼再以《春秋对义》居曾巩之前，中乙科。
治平三年（1066年），父苏洵过世，苏轼回蜀守丧，英宗怜之，同意以官船载运苏轼一家。
熙宁二年（1069年），任祠部员外郎，反对王安石变法中的一些作为，王安石于是屡次在神宗面前诋毁苏轼，司马光、范镇举荐苏轼作谏官，王安石力反之，神宗想让苏轼写起居注，王安石向神宗进言，说苏轼在回家守丧时，乘机贩运苏木（一种染料），最后神宗放弃这个任命。三年，因为苏轼一直反对王安石，王安石门下的御史谢景温又诬陷苏轼贩卖私盐，范镇极辩苏轼贩盐之诬，并愿意退休负责。",
D002Q03,2,苏东坡和谁一起进京参加会考?,基础题,Single-Span-Extraction,Person,['苏辙'],"嘉佑二年（1057年），苏轼才20岁，与弟弟苏辙一同进京参加会考，苏轼中进士第2名。当时主试官是欧阳修，苏轼以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，并推荐给主试官欧阳修。欧阳修亦十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌，列为第二。结果试卷拆封后才发现该文为苏轼所作，而取为第一的是曾巩，正是阴错阳差，弄巧成拙。到了礼部复试时，苏轼再以《春秋对义》居曾巩之前，中乙科。
治平三年（1066年），父苏洵过世，苏轼回蜀守丧，英宗怜之，同意以官船载运苏轼一家。
熙宁二年（1069年），任祠部员外郎，反对王安石变法中的一些作为，王安石于是屡次在神宗面前诋毁苏轼，司马光、范镇举荐苏轼作谏官，王安石力反之，神宗想让苏轼写起居注，王安石向神宗进言，说苏轼在回家守丧时，乘机贩运苏木（一种染料），最后神宗放弃这个任命。三年，因为苏轼一直反对王安石，王安石门下的御史谢景温又诬陷苏轼贩卖私盐，范镇极辩苏轼贩盐之诬，并愿意退休负责。",
D002Q04,2,苏东坡在会考中所写的作文题目为何?,基础题,Single-Span-Extraction,Object,['刑赏忠厚之至论'],"嘉佑二年（1057年），苏轼才20岁，与弟弟苏辙一同进京参加会考，苏轼中进士第2名。当时主试官是欧阳修，苏轼以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，并推荐给主试官欧阳修。欧阳修亦十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌，列为第二。结果试卷拆封后才发现该文为苏轼所作，而取为第一的是曾巩，正是阴错阳差，弄巧成拙。到了礼部复试时，苏轼再以《春秋对义》居曾巩之前，中乙科。
治平三年（1066年），父苏洵过世，苏轼回蜀守丧，英宗怜之，同意以官船载运苏轼一家。
熙宁二年（1069年），任祠部员外郎，反对王安石变法中的一些作为，王安石于是屡次在神宗面前诋毁苏轼，司马光、范镇举荐苏轼作谏官，王安石力反之，神宗想让苏轼写起居注，王安石向神宗进言，说苏轼在回家守丧时，乘机贩运苏木（一种染料），最后神宗放弃这个任命。三年，因为苏轼一直反对王安石，王安石门下的御史谢景温又诬陷苏轼贩卖私盐，范镇极辩苏轼贩盐之诬，并愿意退休负责。",
D002Q05,2,苏东坡与曾巩是否同为欧阳修的学生?,进阶题,YesNo,YesNo,['否'],"嘉佑二年（1057年），苏轼才20岁，与弟弟苏辙一同进京参加会考，苏轼中进士第2名。当时主试官是欧阳修，苏轼以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，并推荐给主试官欧阳修。欧阳修亦十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌，列为第二。结果试卷拆封后才发现该文为苏轼所作，而取为第一的是曾巩，正是阴错阳差，弄巧成拙。到了礼部复试时，苏轼再以《春秋对义》居曾巩之前，中乙科。
治平三年（1066年），父苏洵过世，苏轼回蜀守丧，英宗怜之，同意以官船载运苏轼一家。
熙宁二年（1069年），任祠部员外郎，反对王安石变法中的一些作为，王安石于是屡次在神宗面前诋毁苏轼，司马光、范镇举荐苏轼作谏官，王安石力反之，神宗想让苏轼写起居注，王安石向神宗进言，说苏轼在回家守丧时，乘机贩运苏木（一种染料），最后神宗放弃这个任命。三年，因为苏轼一直反对王安石，王安石门下的御史谢景温又诬陷苏轼贩卖私盐，范镇极辩苏轼贩盐之诬，并愿意退休负责。",
D002Q06,2,苏东坡与王安石在职场上是否理念相同?,基础题,YesNo,YesNo,['否'],"嘉佑二年（1057年），苏轼才20岁，与弟弟苏辙一同进京参加会考，苏轼中进士第2名。当时主试官是欧阳修，苏轼以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，并推荐给主试官欧阳修。欧阳修亦十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌，列为第二。结果试卷拆封后才发现该文为苏轼所作，而取为第一的是曾巩，正是阴错阳差，弄巧成拙。到了礼部复试时，苏轼再以《春秋对义》居曾巩之前，中乙科。
治平三年（1066年），父苏洵过世，苏轼回蜀守丧，英宗怜之，同意以官船载运苏轼一家。
熙宁二年（1069年），任祠部员外郎，反对王安石变法中的一些作为，王安石于是屡次在神宗面前诋毁苏轼，司马光、范镇举荐苏轼作谏官，王安石力反之，神宗想让苏轼写起居注，王安石向神宗进言，说苏轼在回家守丧时，乘机贩运苏木（一种染料），最后神宗放弃这个任命。三年，因为苏轼一直反对王安石，王安石门下的御史谢景温又诬陷苏轼贩卖私盐，范镇极辩苏轼贩盐之诬，并愿意退休负责。",
D002Q08,2,王安石在宋朝哪一位皇帝手下做事?,基础题,Single-Span-Extraction,Person,['神宗'],"嘉佑二年（1057年），苏轼才20岁，与弟弟苏辙一同进京参加会考，苏轼中进士第2名。当时主试官是欧阳修，苏轼以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，并推荐给主试官欧阳修。欧阳修亦十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌，列为第二。结果试卷拆封后才发现该文为苏轼所作，而取为第一的是曾巩，正是阴错阳差，弄巧成拙。到了礼部复试时，苏轼再以《春秋对义》居曾巩之前，中乙科。
治平三年（1066年），父苏洵过世，苏轼回蜀守丧，英宗怜之，同意以官船载运苏轼一家。
熙宁二年（1069年），任祠部员外郎，反对王安石变法中的一些作为，王安石于是屡次在神宗面前诋毁苏轼，司马光、范镇举荐苏轼作谏官，王安石力反之，神宗想让苏轼写起居注，王安石向神宗进言，说苏轼在回家守丧时，乘机贩运苏木（一种染料），最后神宗放弃这个任命。三年，因为苏轼一直反对王安石，王安石门下的御史谢景温又诬陷苏轼贩卖私盐，范镇极辩苏轼贩盐之诬，并愿意退休负责。",
D002Q09,2,宋神宗是否信任苏东坡?,进阶题,YesNo,YesNo,['否'],"嘉佑二年（1057年），苏轼才20岁，与弟弟苏辙一同进京参加会考，苏轼中进士第2名。当时主试官是欧阳修，苏轼以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，并推荐给主试官欧阳修。欧阳修亦十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌，列为第二。结果试卷拆封后才发现该文为苏轼所作，而取为第一的是曾巩，正是阴错阳差，弄巧成拙。到了礼部复试时，苏轼再以《春秋对义》居曾巩之前，中乙科。
治平三年（1066年），父苏洵过世，苏轼回蜀守丧，英宗怜之，同意以官船载运苏轼一家。
熙宁二年（1069年），任祠部员外郎，反对王安石变法中的一些作为，王安石于是屡次在神宗面前诋毁苏轼，司马光、范镇举荐苏轼作谏官，王安石力反之，神宗想让苏轼写起居注，王安石向神宗进言，说苏轼在回家守丧时，乘机贩运苏木（一种染料），最后神宗放弃这个任命。三年，因为苏轼一直反对王安石，王安石门下的御史谢景温又诬陷苏轼贩卖私盐，范镇极辩苏轼贩盐之诬，并愿意退休负责。",
D002Q10,2,在苏东坡被王安石诬陷时，谁为他说话？,进阶题,Single-Span-Extraction,Person,['范镇'],"嘉佑二年（1057年），苏轼才20岁，与弟弟苏辙一同进京参加会考，苏轼中进士第2名。当时主试官是欧阳修，苏轼以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，并推荐给主试官欧阳修。欧阳修亦十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌，列为第二。结果试卷拆封后才发现该文为苏轼所作，而取为第一的是曾巩，正是阴错阳差，弄巧成拙。到了礼部复试时，苏轼再以《春秋对义》居曾巩之前，中乙科。
治平三年（1066年），父苏洵过世，苏轼回蜀守丧，英宗怜之，同意以官船载运苏轼一家。
熙宁二年（1069年），任祠部员外郎，反对王安石变法中的一些作为，王安石于是屡次在神宗面前诋毁苏轼，司马光、范镇举荐苏轼作谏官，王安石力反之，神宗想让苏轼写起居注，王安石向神宗进言，说苏轼在回家守丧时，乘机贩运苏木（一种染料），最后神宗放弃这个任命。三年，因为苏轼一直反对王安石，王安石门下的御史谢景温又诬陷苏轼贩卖私盐，范镇极辩苏轼贩盐之诬，并愿意退休负责。",
D003Q01,3,上官均是否赞成王安石的新政改革?,基础题,YesNo,YesNo,['否'],"熙宁三年（1070年），苏轼担任当年度的科举主考官，原本苏轼要将上官均列为第一名（状元），因发现上官均的策论有诋毁王安石变法的情况，便改上官均为第二名。
熙宁五年（1072年）苏轼因不堪新党的迫害，求外职，神宗本想任命他为知州，但王安石只愿予之颍州通判，神宗最后折中，让苏轼担任比较好的杭州通判，三年之后升为知州，连知密州、徐州、湖州。熙宁十年四月，赴任徐州，是年七月七日，黄河决口，水困徐州，苏轼参加救灾。
元丰二年（1079年），四十三岁时，因乌台诗案入狱，几死，因为写文章向朝廷诀别，太皇太后曹氏、王安礼等人出面力挽，神宗动心，苏轼终免一死，贬谪为「检校尚书水部员外郎黄州团练副使本州安置」，为其文学创作生涯的重要阶段，而神宗亦爱其才，终得以保全，翌年被贬至黄州（今湖北省黄冈市），在黄州「深自闭塞，扁舟革履，放浪山水之间，与渔樵杂处」，与张怀民交游，也结交禅门人士，当时佛印担任庐山归宗寺住持，与苏轼时有往来。苏轼有〈戏答佛印偈〉曰：「百千灯作一灯光，尽是恒沙妙法王，是故东坡不敢借，借君四大作禅床。」元丰七年离开黄州。",
D003Q03,3,在「乌台诗案」中，有哪些人出面救了苏东坡？,进阶题,Multi-Spans-Extraction,Person,"['太皇太后曹氏与王安礼等人', '太皇太后曹氏与王安礼']","熙宁三年（1070年），苏轼担任当年度的科举主考官，原本苏轼要将上官均列为第一名（状元），因发现上官均的策论有诋毁王安石变法的情况，便改上官均为第二名。
熙宁五年（1072年）苏轼因不堪新党的迫害，求外职，神宗本想任命他为知州，但王安石只愿予之颍州通判，神宗最后折中，让苏轼担任比较好的杭州通判，三年之后升为知州，连知密州、徐州、湖州。熙宁十年四月，赴任徐州，是年七月七日，黄河决口，水困徐州，苏轼参加救灾。
元丰二年（1079年），四十三岁时，因乌台诗案入狱，几死，因为写文章向朝廷诀别，太皇太后曹氏、王安礼等人出面力挽，神宗动心，苏轼终免一死，贬谪为「检校尚书水部员外郎黄州团练副使本州安置」，为其文学创作生涯的重要阶段，而神宗亦爱其才，终得以保全，翌年被贬至黄州（今湖北省黄冈市），在黄州「深自闭塞，扁舟革履，放浪山水之间，与渔樵杂处」，与张怀民交游，也结交禅门人士，当时佛印担任庐山归宗寺住持，与苏轼时有往来。苏轼有〈戏答佛印偈〉曰：「百千灯作一灯光，尽是恒沙妙法王，是故东坡不敢借，借君四大作禅床。」元丰七年离开黄州。",
