qid	parsed_subj	parsed_pred	sid	pretty_values	proc_values	answers	answer
D048Q02	史上第一个聊天机器人	名字	['Q28812422', 'Q46422417', 'Q45356422', 'Q45360823', 'Q45372886', 'Q45380084', 'Q45380190', 'Q45403616', 'Q45403652', 'Q45403708', 'Q45403774', 'Q45404165', 'Q45404187', 'Q45404346', 'Q45404550', 'Q45404672', 'Q45404925', 'Q45405110', 'Q45405176', 'Q45405351', 'Q45405358', 'Q45412259', 'Q45412336', 'Q45412383', 'Q45429038', 'Q45429290', 'Q45429320', 'Q45429658', 'Q45429879', 'Q45430034', 'Q45430634', 'Q45431127', 'Q45431785', 'Q45432001', 'Q45432085', 'Q45432199', 'Q45432261', 'Q45432703', 'Q45432813', 'Q45433080', 'Q45433770', 'Q45434729', 'Q45434794', 'Q45434827', 'Q45435434', 'Q45435764', 'Q45436048', 'Q45478131', 'Q45478257', 'Q45478320', 'Q45478517', 'Q45478845', 'Q45480283', 'Q45482490', 'Q45490796', 'Q45491000', 'Q45491312', 'Q45493168', 'Q45494328', 'Q45494461', 'Q45498480', 'Q45507222', 'Q45512083', 'Q45520467', 'Q45521490', 'Q45522320', 'Q45562605', 'Q45601669', 'Q45606386', 'Q45634646', 'Q45645539', 'Q45647157', 'Q45647344', 'Q45679055', 'Q45685113', 'Q45686002', 'Q45694273', 'Q45695740', 'Q45697815', 'Q45697839', 'Q45698988', 'Q45699675', 'Q49727', 'Q6007654']	['第一', '第一', '韓彥直', '檀僧', '莊敏', '旃郎', '第一', '子溫', '張宗元', '越哥', '禹孫', '第一', '會卿', '祝洙', '第一', '宗道', '安道', '趙彥文', '慶孫', '紹祖', '第一', '元質', '趙像之', '民則', '明則', '夀卿', '第一', '行成', '冉徽之', '察乞', '祖郎', '第一', '子美', '張偉', '夀鄉', '彭老', '第一', '書言', '趙不愧', '守正', '椿夀', '第一', '蕭肅', '第一', '處恭', '善感', '德昭', '石才孺', '寧老', '伯元', '第一', '難老', '王賓', '端郎', '第一', '王賔', '觀國', '戴振', '文舉', '王僧', '第一', '夀老', '俞肇', '世兆', '夢祥', '彥初', '第一', '趙公懋', '寧哥', '寧郎', '元功', '第一', '胡鎔', '子青', '鬆老', '第一', '元範', '餘溥', '應', '逢時', '仲傅', '餘應', '第一', '金鼎', '周卿', '張僧', '第一', '元鼎', '張永年', '時發', '一郎', '第一', '念十一', '胡權', '經仲', '夢祥', '星郎', '第一', '陳賞', '景申', '第一', '嶽孫', '趙寅龍', '宜福', '第一', '景元', '趙果', '第一', '初桂', '德養', '石子該', '巖', '第一', '季瞻', '周正子', '文祖', '周文', '文', '第一', '德新', '李君錫', '商', '第一', '宗禹', '吳良弼', '光輔', '仰說', '第一', '杜夢冠', '叔範', '第一', '句印', '曉孫', '曉哥', '第一', '叔明', '石公瑾', '定哥', '第一', '子玉', '黃潛', '孔昭', '第一', '毛浚', '震廣', '第一', '元升', '洪文伯', '第一', '行之', '瑞老', '李仲', '吉父', '第一', '驥孫', '李懿文', '純父', '如意', '第一', '文月能', '國華', '第一', '朱龍', '景亮', '難僧', '珠哥', '第一', '王南傑', '第一', '德膺', '德俊', '先南巽', '少英', '肖巖', '肖嚴', '南', '先南', '第一', '毛沆', '元發', '第一', '自強', '江山', '壽翁', '仕楚', '次山', '第一', '李容', '卿壽', '子發', '桂郎', '第一', '壽卿', '吳璞', '元美', '第一', '唐湘', '塔孫', '第一', '得辛', '正甫', '姚會之', '安國', '第一', '文叟', '君輔', '袁甲龍', '甲郎', '子高', '雲翔', '第一', '蔣砳', '第一', '長卿', '泰孫', '陳錫', '第一', '薛埴', '第一', '景', '景口', '楊申', '子應', '應', '第一', '文起', '馮更', '景新', '第一', '陳槩', '道生', '立本', '第一', '辛平', '趙友煥', '炎祖', '文叔', '第一', '趙時貴', '子升', '道鄉', '第一', '時登', '孫南己', '孫璋', '雄', '璋', '第一', '俊夫', '趙時熪', '用明', '第一', '郭興世', '漢卿', '第一', '祖傳', '馮遜', '安孫', '靜卿', '安仁', '第一', '陳英發', '第一', '趙良埈', '崈甫', '第一', '趙孟鑽', '仲堅', '成老', '第一', '彌堅', '趙若祺', '聖翁', '第一', '趙嗣淐', '曇', 'Zhao Sichang', '第一', '清父', '仲卿', '趙嗣昌', '趙與東', '伯仁', '魯齋', '第一', '賓暘', '趙與梣', '季清', '第一', '廉孫', '劉岊', '成鳳', '同', '季儀', '第一', '錢震午', '泰', '閱', '第一', '子嘉', '謝炎午', '第一', '子俞', '餘僧', '蘇直方', '彥弘', '實甫', '第一', '譽', '陳起東', '原', '仲南', '溫甫', '第一', '陳紹大', '仲有', '仲賓', '仲實', '第一', '潭孫', '陳紹南', '斗南', '景新', '景修', '第一', '黃遂', '善夫', '第一', '穆𢴍祖', '第一', '公有', '開', '黃驥子', '賢可', '寶賢', '第一', '寶僧', '程師望', '周翰', '杞', '第一', '雍汜', '雍祀', '師周', '第一', '楊乙', '伯海', '重慶', '第一', '祖孟', '楊於', '漢望', '賢可', '第一', '幹郎', '楊泰', '明卿', '兌（上公下兒）孫', '第一', '楊森', '彬', '文孺', '普明', '第一', '德國電視一臺', '第一', '政治研究協會', '第一']	['第一', '第一', '韓彥直', '檀僧', '莊敏', '旃郎', '第一', '子溫', '張宗元', '越哥', '禹孫', '第一', '會卿', '祝洙', '第一', '宗道', '安道', '趙彥文', '慶孫', '紹祖', '第一', '元質', '趙像之', '民則', '明則', '夀卿', '第一', '行成', '冉徽之', '察乞', '祖郎', '第一', '子美', '張偉', '夀鄉', '彭老', '第一', '書言', '趙不愧', '守正', '椿夀', '第一', '蕭肅', '第一', '處恭', '善感', '德昭', '石才孺', '寧老', '伯元', '第一', '難老', '王賓', '端郎', '第一', '王賔', '觀國', '戴振', '文舉', '王僧', '第一', '夀老', '俞肇', '世兆', '夢祥', '彥初', '第一', '趙公懋', '寧哥', '寧郎', '元功', '第一', '胡鎔', '子青', '鬆老', '第一', '元範', '餘溥', '應', '逢時', '仲傅', '餘應', '第一', '金鼎', '周卿', '張僧', '第一', '元鼎', '張永年', '時發', '一郎', '第一', '念十一', '胡權', '經仲', '夢祥', '星郎', '第一', '陳賞', '景申', '第一', '嶽孫', '趙寅龍', '宜福', '第一', '景元', '趙果', '第一', '初桂', '德養', '石子該', '巖', '第一', '季瞻', '周正子', '文祖', '周文', '文', '第一', '德新', '李君錫', '商', '第一', '宗禹', '吳良弼', '光輔', '仰說', '第一', '杜夢冠', '叔範', '第一', '句印', '曉孫', '曉哥', '第一', '叔明', '石公瑾', '定哥', '第一', '子玉', '黃潛', '孔昭', '第一', '毛浚', '震廣', '第一', '元升', '洪文伯', '第一', '行之', '瑞老', '李仲', '吉父', '第一', '驥孫', '李懿文', '純父', '如意', '第一', '文月能', '國華', '第一', '朱龍', '景亮', '難僧', '珠哥', '第一', '王南傑', '第一', '德膺', '德俊', '先南巽', '少英', '肖巖', '肖嚴', '南', '先南', '第一', '毛沆', '元發', '第一', '自強', '江山', '壽翁', '仕楚', '次山', '第一', '李容', '卿壽', '子發', '桂郎', '第一', '壽卿', '吳璞', '元美', '第一', '唐湘', '塔孫', '第一', '得辛', '正甫', '姚會之', '安國', '第一', '文叟', '君輔', '袁甲龍', '甲郎', '子高', '雲翔', '第一', '蔣砳', '第一', '長卿', '泰孫', '陳錫', '第一', '薛埴', '第一', '景', '景口', '楊申', '子應', '應', '第一', '文起', '馮更', '景新', '第一', '陳槩', '道生', '立本', '第一', '辛平', '趙友煥', '炎祖', '文叔', '第一', '趙時貴', '子升', '道鄉', '第一', '時登', '孫南己', '孫璋', '雄', '璋', '第一', '俊夫', '趙時熪', '用明', '第一', '郭興世', '漢卿', '第一', '祖傳', '馮遜', '安孫', '靜卿', '安仁', '第一', '陳英發', '第一', '趙良埈', '崈甫', '第一', '趙孟鑽', '仲堅', '成老', '第一', '彌堅', '趙若祺', '聖翁', '第一', '趙嗣淐', '曇', 'Zhao Sichang', '第一', '清父', '仲卿', '趙嗣昌', '趙與東', '伯仁', '魯齋', '第一', '賓暘', '趙與梣', '季清', '第一', '廉孫', '劉岊', '成鳳', '同', '季儀', '第一', '錢震午', '泰', '閱', '第一', '子嘉', '謝炎午', '第一', '子俞', '餘僧', '蘇直方', '彥弘', '實甫', '第一', '譽', '陳起東', '原', '仲南', '溫甫', '第一', '陳紹大', '仲有', '仲賓', '仲實', '第一', '潭孫', '陳紹南', '斗南', '景新', '景修', '第一', '黃遂', '善夫', '第一', '穆𢴍祖', '第一', '公有', '開', '黃驥子', '賢可', '寶賢', '第一', '寶僧', '程師望', '周翰', '杞', '第一', '雍汜', '雍祀', '師周', '第一', '楊乙', '伯海', '重慶', '第一', '祖孟', '楊於', '漢望', '賢可', '第一', '幹郎', '楊泰', '明卿', '兌（上公下兒）孫', '第一', '楊森', '彬', '文孺', '普明', '第一', '德國電視一臺', '第一', '政治研究協會', '第一']	[]	None
D048Q03	not_parsed	not_parsed					
D048Q04	not_parsed	not_parsed					
D048Q07	not_parsed	not_parsed					
D048Q08	not_parsed	not_parsed					
D048Q09	not_parsed	not_parsed					
D049Q01	not_parsed	not_parsed					
D049Q03	not_parsed	not_parsed					
D049Q04	not_parsed	not_parsed					
D049Q05	not_parsed	not_parsed					
D049Q06	not_parsed	not_parsed					
D049Q08	not_parsed	not_parsed					
D049Q09	not_parsed	not_parsed					
D061Q01	not_parsed	not_parsed					
D061Q02	not_parsed	not_parsed					
D061Q03	not_parsed	not_parsed					
D061Q04	not_parsed	not_parsed					
D061Q05	not_parsed	not_parsed					
D062Q01	not_parsed	not_parsed					
D062Q02	not_parsed	not_parsed					
D062Q05	not_parsed	not_parsed					
D064Q01	not_parsed	not_parsed					
D064Q03	not_parsed	not_parsed					
D064Q04	not_parsed	not_parsed					
D064Q05	not_parsed	not_parsed					
D064Q06	郭雪胡	出生地	[]	[]	[]	[]	None
D064Q07	not_parsed	not_parsed					
D064Q08	not_parsed	not_parsed					
D064Q09	not_parsed	not_parsed					
D064Q10	not_parsed	not_parsed					
D064Q11	not_parsed	not_parsed					
D064Q12	not_parsed	not_parsed					
D064Q13	not_parsed	not_parsed					
D064Q14	not_parsed	not_parsed					
D064Q15	not_parsed	not_parsed					
D064Q16	not_parsed	not_parsed					
D068Q01	not_parsed	not_parsed					
D068Q02	not_parsed	not_parsed					
D068Q03	not_parsed	not_parsed					
D068Q04	not_parsed	not_parsed					
D068Q05	not_parsed	not_parsed					
D069Q01	李安	出生地	['Q160726', 'Q11096026', 'Q20063496', 'Q45411984', 'Q45424706', 'Q45433406', 'Q45442133', 'Q45451077', 'Q45452455', 'Q45464980', 'Q45486569', 'Q45498052', 'Q45513683', 'Q45513746', 'Q45533811', 'Q45549533', 'Q45550864', 'Q45555725', 'Q45593110', 'Q45609915', 'Q45621657', 'Q45630249', 'Q45631181', 'Q45644164', 'Q45651451', 'Q45707224']	['Q708790 潮州鎮']	[(['潮州镇'], [])]	[]	None
D069Q02	not_parsed	not_parsed					
D069Q03	not_parsed	not_parsed					
D069Q04	not_parsed	not_parsed					
D069Q06	not_parsed	not_parsed					
D069Q07	not_parsed	not_parsed					
D069Q08	not_parsed	not_parsed					
D069Q09	not_parsed	not_parsed					
D069Q10	not_parsed	not_parsed					
D069Q11	not_parsed	not_parsed					
D069Q12	not_parsed	not_parsed					
D069Q13	not_parsed	not_parsed					
D070Q01	not_parsed	not_parsed					
D070Q02	not_parsed	not_parsed					
D070Q03	斯文豪	出生地	[]	[]	[]	[]	None
D070Q04	not_parsed	not_parsed					
D070Q05	not_parsed	not_parsed					
D070Q07	斯文豪	成立或建立時間	[]	[]	[]	[]	None
D070Q08	not_parsed	not_parsed					
D070Q09	not_parsed	not_parsed					
D070Q10	not_parsed	not_parsed					
D070Q11	not_parsed	not_parsed					
D071Q01	张大千	出生地	['Q163298']	['Q426756 內江市']	[(['内江市'], ['内江'])]	['内江']	内江
D071Q03	not_parsed	not_parsed					
D071Q04	not_parsed	not_parsed					
D071Q05	not_parsed	not_parsed					
D071Q06	not_parsed	not_parsed					
D071Q07	not_parsed	not_parsed					
D071Q08	not_parsed	not_parsed					
D071Q09	not_parsed	not_parsed					
D071Q10	not_parsed	not_parsed					
D071Q12	张大千	死亡日期	['Q163298']	['1983-04-02T00:00:00.000Z']	['1983年4月2日', '72年4月2日', '1983年4月2號', '72年4月2號', '1983年4月', '72年4月', '1983年', '72年']	['1983年4月2日', '1983年4月2日', '1983年4月2日']	1983年4月2日
D071Q13	张大千	死亡地	['Q163298']	['Q1867 臺北市']	[(['台北市'], ['台北, 台湾', '北市', '台北'])]	['台北市', '台北市', '台北市']	台北市
D071Q14	not_parsed	not_parsed					
D071Q15	not_parsed	not_parsed					
D071Q16	not_parsed	not_parsed					
D072Q01	not_parsed	not_parsed					
D072Q02	not_parsed	not_parsed					
D072Q03	莎士比亚	出生日期	['Q692', 'Q8036207']	['1564-04-01T00:00:00.000Z']	['1564年4月1日', '-347年4月1日', '1564年4月1號', '-347年4月1號', '1564年4月', '-347年4月', '1564年', '-347年']	['1564年4月23日', '1564年4月23日']	1564年4月23日
D072Q04	莎士比亚	出生地	['Q692', 'Q8036207']	['Q189288 埃文河畔斯特拉特福']	[(['埃文河畔斯特拉特福'], ['艾芬河畔斯特拉特福', '雅芳河畔斯特拉特福', '斯特拉夫镇', '斯特拉福镇'])]	[]	None
D072Q05	莎士比亚	配偶	['Q692', 'Q8036207']	['Q237251 安妮·哈瑟維 (莎士比亞之妻)']	[(['安妮·哈瑟维 (莎士比亚之妻)'], [])]	[]	None
D072Q06	not_parsed	not_parsed					
D072Q08	not_parsed	not_parsed					
D072Q09	not_parsed	not_parsed					
D073Q01	not_parsed	not_parsed					
D073Q02	not_parsed	not_parsed					
D073Q03	not_parsed	not_parsed					
D073Q04	not_parsed	not_parsed					
D073Q05	not_parsed	not_parsed					
D073Q06	not_parsed	not_parsed					
D073Q07	not_parsed	not_parsed					
D073Q08	not_parsed	not_parsed					
D073Q09	not_parsed	not_parsed					
D073Q11	not_parsed	not_parsed					
D073Q12	not_parsed	not_parsed					
D076Q02	not_parsed	not_parsed					
D076Q03	not_parsed	not_parsed					
D076Q04	not_parsed	not_parsed					
D076Q05	not_parsed	not_parsed					
D076Q06	美国总统川普	子女数目	['Q30', 'Q11608888', 'Q48229', 'Q3930949']	[]	[]	[]	None
D076Q07	not_parsed	not_parsed					
D076Q08	not_parsed	not_parsed					
D076Q09	not_parsed	not_parsed					
D076Q10	not_parsed	not_parsed					
D076Q11	not_parsed	not_parsed					
D077Q01	not_parsed	not_parsed					
D077Q02	not_parsed	not_parsed					
D077Q03	not_parsed	not_parsed					
D077Q04	not_parsed	not_parsed					
D077Q05	not_parsed	not_parsed					
D077Q06	not_parsed	not_parsed					
D077Q07	not_parsed	not_parsed					
D077Q08	not_parsed	not_parsed					
D077Q09	not_parsed	not_parsed					
D077Q10	马可.波罗	國籍	['Q1626134', 'Q6757680', 'Q15889426', 'Q9012009']	['Q148 中華人民共和國']	[(['中华人民共和国'], ['中华人民共和国／中华人民共和国', '新中国', '中国', '共产中国', '中国大陆', '中'])]	['中国']	中国
D079Q01	not_parsed	not_parsed					
D079Q05	not_parsed	not_parsed					
D079Q06	not_parsed	not_parsed					
D079Q07	not_parsed	not_parsed					
D082Q02	not_parsed	not_parsed					
D082Q04	not_parsed	not_parsed					
D082Q05	not_parsed	not_parsed					
D082Q06	not_parsed	not_parsed					
D083Q01	not_parsed	not_parsed					
D083Q02	not_parsed	not_parsed					
D083Q03	not_parsed	not_parsed					
D083Q04	not_parsed	not_parsed					
D083Q07	not_parsed	not_parsed					
D083Q08	not_parsed	not_parsed					
D083Q09	not_parsed	not_parsed					
D083Q10	not_parsed	not_parsed					
D085Q01	not_parsed	not_parsed					
D085Q03	not_parsed	not_parsed					
D085Q04	not_parsed	not_parsed					
D085Q05	文本中	國籍	[]	[]	[]	[]	None
D085Q06	not_parsed	not_parsed					
D085Q07	not_parsed	not_parsed					
D085Q08	not_parsed	not_parsed					
D086Q01	not_parsed	not_parsed					
D086Q02	not_parsed	not_parsed					
D086Q04	not_parsed	not_parsed					
D086Q05	not_parsed	not_parsed					
D086Q06	not_parsed	not_parsed					
D086Q07	not_parsed	not_parsed					
D086Q03	不可再	出生地	[]	[]	[]	[]	None
D087Q01	not_parsed	not_parsed					
D087Q02	not_parsed	not_parsed					
D087Q04	not_parsed	not_parsed					
D087Q05	not_parsed	not_parsed					
D087Q06	not_parsed	not_parsed					
D087Q07	not_parsed	not_parsed					
D087Q08	not_parsed	not_parsed					
D088Q02	not_parsed	not_parsed					
D088Q03	not_parsed	not_parsed					
D088Q05	not_parsed	not_parsed					
D088Q06	not_parsed	not_parsed					
D088Q07	not_parsed	not_parsed					
D088Q08	not_parsed	not_parsed					
D090Q01	not_parsed	not_parsed					
D090Q02	not_parsed	not_parsed					
D090Q03	not_parsed	not_parsed					
D090Q04	not_parsed	not_parsed					
D090Q05	not_parsed	not_parsed					
D090Q06	not_parsed	not_parsed					
D090Q07	not_parsed	not_parsed					
D090Q08	not_parsed	not_parsed					
D090Q09	not_parsed	not_parsed					
D090Q10	not_parsed	not_parsed					
D090Q11	not_parsed	not_parsed					
D092Q02	not_parsed	not_parsed					
D092Q03	not_parsed	not_parsed					
D092Q04	not_parsed	not_parsed					
D092Q05	not_parsed	not_parsed					
D092Q06	not_parsed	not_parsed					
D092Q07	not_parsed	not_parsed					
D092Q08	not_parsed	not_parsed					
D092Q09	not_parsed	not_parsed					
D092Q10	not_parsed	not_parsed					
D092Q11	not_parsed	not_parsed					
D092Q12	not_parsed	not_parsed					
D093Q01	not_parsed	not_parsed					
D093Q02	not_parsed	not_parsed					
D093Q03	not_parsed	not_parsed					
D093Q04	not_parsed	not_parsed					
D093Q05	not_parsed	not_parsed					
D093Q07	not_parsed	not_parsed					
D094Q02	not_parsed	not_parsed					
D094Q03	伊甸基金会	成立或建立時間	[]	[]	[]	[]	None
D094Q05	not_parsed	not_parsed					
D094Q06	not_parsed	not_parsed					
D094Q01	not_parsed	not_parsed					
D095Q01	not_parsed	not_parsed					
D095Q02	not_parsed	not_parsed					
D095Q03	not_parsed	not_parsed					
D095Q04	not_parsed	not_parsed					
D095Q06	not_parsed	not_parsed					
D095Q07	not_parsed	not_parsed					
D096Q01	not_parsed	not_parsed					
D096Q02	not_parsed	not_parsed					
D096Q04	not_parsed	not_parsed					
D096Q06	not_parsed	not_parsed					
D096Q07	not_parsed	not_parsed					
D097Q01	not_parsed	not_parsed					
D097Q02	not_parsed	not_parsed					
D097Q04	诺贝尔	出生日期	['Q224138', 'Q23810']	['1833-10-21T00:00:00.000Z']	['1833年10月21日', '-78年10月21日', '1833年10月21號', '-78年10月21號', '1833年10月', '-78年10月', '1833年', '-78年']	['1833年10月21日', '1833年10月21日', '1833年10月21日']	1833年10月21日
D097Q05	诺贝尔	死亡日期	['Q224138', 'Q23810']	['1896-12-10T00:00:00.000Z']	['1896年12月10日', '-15年12月10日', '1896年12月10號', '-15年12月10號', '1896年12月', '-15年12月', '1896年', '-15年']	['1896年12月10日', '1896年12月10日', '1896年12月10日']	1896年12月10日
D097Q06	not_parsed	not_parsed					
D097Q07	not_parsed	not_parsed					
D097Q08	not_parsed	not_parsed					
D100Q01	not_parsed	not_parsed					
D100Q03	not_parsed	not_parsed					
D100Q04	not_parsed	not_parsed					
D100Q05	not_parsed	not_parsed					
D100Q06	not_parsed	not_parsed					
D100Q07	not_parsed	not_parsed					
D103Q01	not_parsed	not_parsed					
D103Q03	not_parsed	not_parsed					
D103Q04	not_parsed	not_parsed					
D103Q05	not_parsed	not_parsed					
D103Q06	not_parsed	not_parsed					
D103Q08	not_parsed	not_parsed					
D104Q02	not_parsed	not_parsed					
D104Q04	not_parsed	not_parsed					
D104Q05	not_parsed	not_parsed					
D104Q06	not_parsed	not_parsed					
D105Q01	not_parsed	not_parsed					
D105Q02	not_parsed	not_parsed					
D105Q04	not_parsed	not_parsed					
